region,population,continent,language
Global,7900000000,Earth,
Russia,144000000,"Europe,Asia",Russian
Latvia,1800000,Europe,Latvian
Lithuania,2800000,Europe,Lithuanian
Turkey,83000000,"Asia,Europe",Turkish
Finland,5500000,Europe,Finnish
Malaysia,32000000,Asia,Malay
Ecuador,17500000,South America,Spanish
Denmark,5800000,Europe,Danish
Ukraine,44000000,Europe,Ukrainian
Indonesia,270000000,Asia,Indonesian
Thailand,69800000,Asia,Thai
Italy,60300000,Europe,Italian
Costa Rica,5100000,North America,Spanish
Poland,38000000,Europe,Polish
Austria,8900000,Europe,German
Germany,83000000,Europe,German
Mexico,126200000,North America,Spanish
Nicaragua,6800000,North America,Spanish
Canada,37800000,North America,English
Japan,126500000,Asia,Japanese
Netherlands,17400000,Europe,Dutch
Saudi Arabia,35000000,Asia,Arabic
Iceland,340000,Europe,Icelandic
Sweden,10400000,Europe,Swedish
Chile,19000000,South America,Spanish
Greece,10400000,Europe,Greek
Paraguay,7200000,South America,Spanish
Taiwan,23800000,Asia,Mandarin
Panama,4300000,North America,Spanish
Hungary,9800000,Europe,Hungarian
Bolivia,11500000,South America,Spanish
Hong Kong,7500000,Asia,Cantonese
Czech Republic,10600000,Europe,Czech
France,67100000,Europe,French
India,1366400000,Asia,"Hindi,English"
Ireland,4900000,Europe,English
Switzerland,8500000,Europe,"German,French,Italian,Romansh"
Dominican Republic,10600000,North America,Spanish
Singapore,5700000,Asia,"English,Mandarin,Malay,Tamil"
South Africa,58600000,Africa,"Zulu,Xhosa,Afrikaans,English"
El Salvador,6400000,North America,Spanish
Romania,19400000,Europe,Romanian
United States,331400000,North America,English
South Korea,51800000,Asia,Korean
Brazil,211000000,South America,Portuguese
Peru,32500000,South America,Spanish
Guatemala,17700000,North America,Spanish
Vietnam,96200000,Asia,Vietnamese
United Kingdom,67800000,Europe,English
Morocco,36000000,Africa,Arabic
Honduras,9900000,North America,Spanish
Portugal,10300000,Europe,Portuguese
Philippines,108100000,Asia,"Filipino,English"
Belgium,11400000,Europe,"Dutch,French,German"
Slovakia,5400000,Europe,Slovak
Egypt,100000000,Africa,Arabic
Spain,47000000,Europe,Spanish
Israel,8900000,Asia,Hebrew
Andorra,77000,Europe,Catalan
United Arab Emirates,9800000,Asia,Arabic
Colombia,50300000,South America,Spanish
New Zealand,5000000,Oceania,"English,Maori"
Estonia,1300000,Europe,Estonian
Luxembourg,626000,Europe,"Luxembourgish,French,German"
Bulgaria,7000000,Europe,Bulgarian
Uruguay,3500000,South America,Spanish
Australia,25800000,Oceania,English
Argentina,45400000,South America,Spanish
Norway,5400000,Europe,Norwegian
